,EPS,Earnings_Yield,Effect_of_forex_changes_on_cash,Weighted_Average_Shs_Out,Gross_Profit_Growth,Net_cash_flow_/_Change_in_cash,Net_Income_per_Share,Book_Value_per_Share_Growth,Weighted_Average_Shares_Growth,Revenue_Growth,Financing_Cash_Flow,Operating_Cash_Flow_growth,Operating_Cash_Flow_per_Share,Asset_Growth,Operating_Income_Growth,Retained_earnings_(deficit),SG&A_Expenses_Growth,EPS_Growth,Receivables_growth,Issuance_(buybacks)_of_shares
13492,0.84,0.0179,6700000.0,78477440.0,0.1707,72880000.0,0.8419,0.1086,0.0338,0.1977,837972000.0,-0.016,1.4896,0.7762,-0.6115,285186000.0,0.3697,-0.16,0.6992,9774000.0
1671,4.71,0.0524,-7000.0,53879600.0,0.0751,-3149000.0,4.7149,0.0677,0.0282,0.0449,15239000.0,0.1885,8.8864,0.0519,0.1088,1319639000.0,0.0423,-0.058,0.0625,7633000.0
13595,0.08,0.0042,504000.0,45975744.0,-0.1314,-4895000.0,0.0791,-0.0025,0.0161,-0.0587,-7718000.0,0.0168,0.8504,0.0546,-1.0825,72642000.0,0.0765,-0.6364,0.3443,-30747000.0
9117,2.39,0.0791,0.0,372285760.0,0.1602,-80600000.0,2.3889,0.1393,0.0115,0.1232,-591900000.0,-0.1092,1.6817,0.0366,0.2082,4057200000.0,0.1132,0.1659,0.0,72400000.0
362,4.27,0.0464,-4141000.0,13269266.0,0.0465,-3761000.0,4.2574,0.0579,0.0062,0.05,30161000.0,-0.259,4.1216,0.1393,0.0858,299524000.0,0.0317,-0.0023,0.144,804000.0
8180,-0.47,-0.0083,-8000000.0,62100840.0,-0.0011,-69000000.0,-0.467,0.2001,-0.0624,-0.1173,-407000000.0,1.036,10.9177,-0.0054,-1.5979,2704000000.0,0.2399,-1.1035,-0.3646,-500000000.0
1462,1.96,0.0278,0.0,170370200.0,0.2174,301400000.0,1.9645,0.7664,-0.0298,0.2049,-202600000.0,0.0749,3.7782,0.3632,1.1038,-57500000.0,0.1095,2.7971,0.2766,-125300000.0
14501,5.9,0.0419,6700000.0,89560780.0,0.2442,419284000.0,7.7254,0.2113,-0.0159,0.2282,251938000.0,-0.0398,7.4626,0.1757,0.4074,2958921000.0,0.3453,0.6605,0.1814,-357703000.0
4100,0.16,0.0195,0.0,8444515.0,0.0253,-2861000.0,0.1567,0.0009,0.0,0.0253,8571000.0,-0.4518,0.1361,0.0321,-0.0969,34050000.0,0.0496,0.4545,0.0,0.0
6664,2.0,0.0638,0.0,81003090.0,0.0754,3300000.0,1.9998,0.0782,0.0113,0.0754,837972000.0,0.1774,2.1933,0.1508,-0.0092,1059660000.0,0.0264,0.1561,0.0,-50223000.0
9250,2.04,0.0336,-770000.0,32113064.0,0.0512,-16485000.0,2.0786,-0.0046,-0.0258,0.0381,-108848000.0,-0.0056,4.3681,-0.0245,0.1313,896224000.0,-0.0178,0.057,0.0386,-51592000.0
16122,0.0695,0.004,-480501.8,32809996.0,1.1081,163665500.0,7.7254,1.048,0.0779,0.3506,666808960.0,2.5403,14.3718,0.7731,2.1234,-68100210.0,0.379,1.1201,0.6203,98435610.0
3025,0.51,0.1254,-1014000.0,13909414.0,0.5295,-10948000.0,0.516,1.048,0.0172,0.5295,-18400000.0,0.228,-1.4906,-0.2381,-0.1987,-201237000.0,-0.1655,1.3953,0.0,-257000.0
13997,3.86,0.0873,6700000.0,313826200.0,0.0271,272000000.0,3.8556,0.1702,-0.0624,-0.0032,-1363003000.0,0.9039,8.0283,0.0249,0.3484,4399000000.0,-0.0093,0.4903,0.1592,-527000000.0
4851,0.74,0.0779,0.0,7710363.0,0.3413,2583811.0,0.7349,0.3861,0.0482,0.3015,723560.0,-0.9756,0.0023,0.3547,0.3272,-5909215.0,0.2577,2.7971,0.1921,0.0
8588,-0.56,-0.045,0.0,146223550.0,1.0599,-207784000.0,-0.5638,-0.3124,0.0195,0.8047,-4176000.0,0.7575,-0.1789,0.1465,0.5882,-1005000000.0,0.3835,0.44,0.1896,24841000.0
6078,0.92,0.0449,0.0,35869508.0,0.1418,-66406000.0,1.3734,0.041,0.0935,0.1269,-12472000.0,0.0418,1.4787,0.0514,0.1047,-94136000.0,0.0691,-0.3699,0.0978,56620000.0
1158,1.39,0.0436,-100000.0,32197140.0,0.0025,-66500000.0,1.379,0.0491,0.0095,0.0075,122500000.0,-0.1708,4.87,0.0607,-0.5071,765100000.0,-0.0102,0.433,-0.013,5000000.0
12639,-0.63,-0.1944,0.0,16046664.0,-0.3691,-6695000.0,-0.6339,-0.2471,0.0157,-0.2962,-862000.0,-1.6099,-0.3438,-0.2054,0.6685,-187609000.0,-0.1575,0.6957,-0.307,0.0
14714,2.1369,0.0566,-24000000.0,688334400.0,0.1752,-253301330.0,1.4847,0.0925,0.1386,0.1639,66026412.0,0.8228,1.6756,-0.1053,0.1826,9313000000.0,0.182,0.2848,-0.1597,-498199260.0
4885,2.71,0.04,-5000000.0,688334400.0,0.0586,75000000.0,2.7731,-0.096,-0.0624,0.0525,-1363003000.0,0.199,5.0663,-0.0309,0.155,9313000000.0,0.0316,0.2664,0.0,-570775000.0
8119,0.2129,0.0361,0.0,3437412.5,0.0305,13020768.0,3.1571,-0.0236,0.0212,-0.0496,-5001298.0,0.2218,5.0481,-0.0082,2.1234,67883176.0,-0.1919,0.5924,-0.0446,0.0
461,1.65,0.0417,-24000000.0,333512740.0,0.0362,353000000.0,1.6486,0.027,-0.0235,0.0395,-117000000.0,-0.3655,2.1952,0.0121,0.0855,6469000000.0,0.0127,-0.2326,-0.3037,-12000000.0
8090,0.84,0.0313,0.0,8315535.0,-0.0113,1151000.0,0.8422,-0.0139,0.0307,-0.0583,-16172000.0,-0.0999,3.6561,-0.0101,0.1592,151504000.0,-0.1919,-0.4878,0.511,-3141000.0
9200,2.02,0.0611,-252000.0,27743478.0,0.0756,-23523000.0,2.0176,0.089,-0.0278,0.0525,-69114000.0,0.0592,2.0793,-0.0471,0.3525,646315000.0,0.0227,0.5659,-0.2455,-19346000.0
4388,-0.82,-0.4852,0.0,23447004.0,0.0,-3880000.0,-0.8216,0.295,0.5686,0.0,30527000.0,-0.1047,-1.234,0.1496,-0.0787,-396288000.0,0.0838,0.6906,-0.453,25801000.0
10058,0.13,0.0249,0.0,9378892.0,0.7965,-3404000.0,0.126,-0.4408,0.6672,0.8047,5388000.0,2.1123,0.0776,0.7089,1.733,-13082000.0,0.4405,1.114,0.8793,0.0
7102,-2.76,-0.2379,-237000.0,1338281.0,-0.1721,1862000.0,-2.7578,-0.1641,-0.0139,-0.1721,-5620000.0,-1.6099,-2.8071,-0.0996,-2.0454,-30889000.0,-0.0667,-0.6235,0.0769,-4000000.0
16707,0.01,0.0014,0.0,16757963.0,0.1096,-74699000.0,0.0088,-0.022,0.0092,0.1096,-32990000.0,2.5403,0.7036,-0.0278,0.4194,6779000.0,0.016,-0.9737,0.0,446000.0
10569,1.32,0.0443,0.0,177317440.0,-0.0711,28300000.0,1.4457,1.048,0.2023,-0.0671,-156100000.0,0.0844,2.5336,0.8239,-0.1152,414000000.0,-0.0447,0.1379,0.6372,157286000.0
3200,1.72,0.0385,-400000.0,9476382.0,0.2078,-6917000.0,1.7188,0.1515,0.0122,0.2325,67777000.0,-0.3131,1.8836,0.5182,0.2356,76718000.0,0.235,0.9545,0.359,1076000.0
5095,0.63,0.0497,0.0,38284436.0,0.0201,-5398000.0,0.6338,-0.0109,0.1754,0.0296,-32534000.0,1.2224,1.5276,0.0126,0.0471,-125385000.0,-0.0177,-0.5227,0.0741,0.0
14024,5.9,0.0629,2331000.0,214088940.0,0.115,-12491000.0,7.5909,0.176,-0.0023,0.0331,-1363003000.0,0.1422,13.427,0.0023,0.1806,9022405000.0,0.0697,0.2701,0.0916,-222473000.0
1118,0.39,0.0,0.0,181000000.0,0.0,2000000.0,0.0,0.0,0.0,0.0,28000000.0,0.0,0.0,0.0,0.0,2651000000.0,0.0,0.0,0.0,0.0
488,-0.37,-0.3033,0.0,62770092.0,-0.2928,-3054000.0,-0.3735,-0.333,0.0024,-0.2928,-1595000.0,0.0564,-0.5075,-0.2409,0.0341,-468343000.0,-0.0531,0.0513,0.0,105000.0
16133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2252,4.33,0.0946,0.0,30477648.0,0.2014,-300323000.0,4.2083,0.0971,0.096,0.2014,197643000.0,0.9173,5.2084,0.1342,0.3148,296816000.0,0.1665,0.453,0.0,2533000.0
3701,2.79,0.1254,0.0,20546032.0,0.0024,-5204000.0,2.7899,0.0396,0.0569,0.154,-36276000.0,2.5403,1.5128,0.0588,-0.0462,13718000.0,0.2243,0.5763,1.1213,0.0
14869,2.05,0.0958,90000.0,27194094.0,0.2082,18440000.0,2.5029,0.2266,0.0,0.2622,-41378000.0,0.4255,5.6845,0.3876,0.1605,0.0,0.2709,-0.1052,1.1213,120946000.0
9513,-0.69,-0.1124,0.0,6941077.0,-0.2109,-42424.0,-0.6856,0.9888,0.1443,0.1805,1380325.0,-1.6099,-0.2051,0.001,-2.0454,-14390004.0,0.1674,-0.38,0.192,4643799.0
2225,5.9,0.0499,-215000.0,21253726.0,0.8058,99375000.0,6.7732,0.3945,0.0061,0.7821,328585000.0,1.191,9.171,0.8789,1.4051,-229197000.0,0.3169,2.7971,1.1213,-12685000.0
901,-1.41,-0.1374,-207000.0,24545740.0,0.9606,557000.0,-1.4051,1.048,0.1124,0.8047,43804000.0,0.0192,-0.6822,1.0319,-0.1797,-152664000.0,0.7181,-0.3824,0.5107,43804000.0
2280,0.79,0.0098,0.0,688334400.0,0.0142,396000000.0,0.7944,-0.1574,-0.038,0.0231,-1363003000.0,-0.1338,14.2734,-0.1899,-0.835,9313000000.0,-0.0266,-0.8922,-0.1868,-570775000.0
3989,-0.9826,-0.4592,-291461.66,472624.75,0.9321,-3264254.8,-5.5868,-0.1474,-0.0425,0.0985,-5981476.0,1.2445,14.3718,-0.1587,0.6821,-24121562.0,0.0347,0.5386,0.1067,0.0
14018,1.87,0.0705,-4023000.0,116233784.0,0.0355,-17136000.0,1.8663,0.2372,-0.0624,0.0292,-193743000.0,-0.0104,3.553,0.0378,-0.0426,1347141000.0,0.0681,0.0447,-0.2802,-43743000.0
3904,0.24,0.0213,0.0,44056544.0,0.081,-4898000.0,0.2388,0.0701,0.0125,0.048,911000.0,-0.6896,0.2227,0.005,2.1234,-593000.0,0.0131,2.0,0.0,961000.0
3848,-4.75,-0.5957,0.0,5100358.0,0.5745,1075000.0,-4.8428,-0.2883,0.6672,-0.27,16703000.0,0.0101,-3.4117,0.1393,0.0841,-61278000.0,-0.0373,0.6346,0.75,16703000.0
11510,1.905,0.0551,0.0,12246362.0,0.1093,22461000.0,1.9047,0.0561,0.0179,0.1093,-27303000.0,0.0745,2.095,-0.0038,0.2609,146464000.0,0.0148,0.233,0.0,1446000.0
7303,1.89,0.0527,0.0,13983403.0,0.0604,300000.0,1.8921,0.0273,0.0072,0.0023,-10900000.0,0.3702,8.2806,0.0386,0.0517,45100000.0,0.0,0.0559,-0.2005,1300000.0
7519,2.76,0.0335,-4128000.0,48523164.0,0.2126,-178133000.0,2.8058,0.0659,0.0182,0.2033,-67363000.0,0.2924,4.8094,0.046,0.0708,626789000.0,0.3186,0.0615,0.2506,1544000.0
6021,0.43,0.0441,0.0,60920376.0,0.1861,-8400752.0,0.4334,-0.1057,0.1858,0.1846,148006700.0,0.092,0.6442,0.2316,0.1722,0.0,0.1044,0.075,0.1807,40527796.0
14508,0.48,0.0281,0.0,84083570.0,0.0614,-92686000.0,0.4779,0.0943,-0.0047,0.0643,25214000.0,-0.0245,1.0315,0.1047,-0.1255,366164000.0,0.1821,0.0667,0.0915,-11417000.0
13105,1.3,0.0172,0.0,31862560.0,0.2835,48028000.0,1.3003,0.3527,0.0108,0.3128,179699000.0,-0.0613,2.1736,0.5987,0.1127,48434000.0,0.2727,0.0569,0.4068,0.0
3719,1.24,0.0818,0.0,13305375.0,0.1407,-5346000.0,1.2438,0.2217,0.1929,0.1407,-14300000.0,0.0886,1.6541,0.2634,0.0319,94547000.0,0.128,-0.0462,0.0,-211000.0
14624,0.46,0.0432,3900000.0,37208580.0,0.0209,-7100000.0,0.4596,0.8034,0.0021,0.1766,65700000.0,-1.1008,-0.0672,0.0983,-0.172,-95100000.0,0.0758,-0.1636,0.1543,0.0
7108,0.69,0.0,0.0,28000000.0,0.0,-7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229000000.0,0.0,0.0,0.0,0.0
1648,0.65,0.0171,0.0,39152548.0,0.3531,26840000.0,0.6483,0.0083,0.0076,0.0037,-17082000.0,2.5403,1.1035,-0.0106,2.1234,659816000.0,0.0073,1.6915,0.0013,-5124000.0
13903,-0.01,-0.004,-993689.0,205000000.0,0.0,-7498917.0,-0.0076,-0.3158,0.0162,0.0,0.0,0.0137,-0.0058,-0.2395,-0.0076,-7152633.0,0.0103,0.0,0.0,0.0
2583,-0.08,-0.0028,879000.0,36967504.0,0.3447,1483000.0,-0.078,-0.1001,0.1031,0.3855,-2562000.0,-0.0853,0.2714,-0.0315,0.1684,34984000.0,0.3889,-1.7273,-0.0002,1754000.0
1392,1.79,0.1254,0.0,114724990.0,0.1132,-47406000.0,1.7907,0.5576,0.0178,0.0982,-233578000.0,0.5842,2.4683,-0.0246,0.2942,34966000.0,0.0774,2.7971,0.0278,-950000.0
4352,-0.62,-0.1771,0.0,51998304.0,0.0,-23362718.0,-0.4637,-0.459,0.0352,0.0,21157938.0,0.1398,-0.5086,-0.2409,0.2315,-133914820.0,0.011,0.1842,0.0,28750.0
129,0.0,0.0,-2000000.0,0.0,0.0,325000000.0,0.0,0.0,0.0,0.0,241000000.0,0.0,0.0,0.0,0.0,1599000000.0,0.0,0.0,0.0,0.0
2933,0.12,0.0046,0.0,0.0,0.0,85994000.0,0.1184,0.0,0.0,0.0,140797000.0,0.0,-2.3147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13820,-5.23,-0.5957,-5000.0,78300.0,0.0,6555000.0,-5.5868,-0.6089,0.6672,0.0,18519000.0,0.4874,-3.4117,-0.0275,0.4536,-162363000.0,-0.1919,0.7944,0.0,18519000.0
1397,4.0,0.0494,-24000000.0,301327140.0,0.1494,-319396000.0,4.0007,0.0219,-0.0147,0.1698,-1070100000.0,-0.0275,3.6942,0.0041,0.1816,3028700000.0,0.0925,0.8779,0.1209,-570775000.0
8696,3.36,0.0442,0.0,23241456.0,0.4516,55479000.0,3.3509,0.135,-0.0624,0.0521,233119000.0,-0.5764,2.8698,0.1811,1.0242,1289288000.0,0.0,1.6667,0.4155,-81661000.0
2670,1.34,0.0495,0.0,136571460.0,0.0537,15859000.0,1.4098,-0.0506,0.0863,0.0537,795415000.0,-0.3601,2.7959,0.0324,0.2097,14894000.0,0.0172,0.4409,0.0,-85065000.0
17418,2.912,0.0391,-86000.0,7381613.0,0.1914,5104000.0,2.9123,0.1425,0.0153,0.2526,-4731000.0,1.5201,0.1888,0.1105,0.6062,88907000.0,0.0805,0.6277,0.4922,0.0
13534,-1.21,-0.2602,75000.0,54795060.0,-0.3236,10795000.0,-1.2087,0.6081,0.1603,0.0659,89050000.0,-0.4991,-1.044,0.5226,-0.2151,-416383000.0,0.2634,-0.0522,0.1799,87554000.0
11817,-1.29,0.0,0.0,8405000.0,0.0,-18000000.0,0.0,0.0,0.0,0.0,-7000000.0,0.0,0.0,0.0,0.0,-27799000.0,0.0,0.0,0.0,0.0
5827,4.17,0.1254,0.0,1543257.0,0.5957,880500.0,4.1687,0.184,0.0007,0.3423,-23059600.0,1.0164,6.836,-0.0842,2.1234,27000900.0,-0.1919,1.5697,1.1213,0.0
4933,3.5,0.095,-24000000.0,108515420.0,0.0431,73900000.0,3.5036,-0.0407,-0.0427,0.0284,-131200000.0,-0.37,4.2825,0.0379,0.0781,2093000000.0,0.0574,0.1589,0.3448,-330400000.0
2504,0.13,0.0144,-620000.0,44474200.0,0.0374,-3084000.0,0.1251,-0.0111,0.0078,0.0409,-13262000.0,-0.2296,0.6829,0.0095,-0.192,107105000.0,0.0184,-0.4348,-0.3276,519000.0
1424,-1.18,-0.3746,0.0,62868380.0,-0.1282,85429000.0,-1.1833,-0.2223,0.4057,-0.1282,69949000.0,-0.1881,-0.8793,0.0574,-0.3268,-320543000.0,0.1775,0.0853,0.0,71215000.0
13556,-4.05,-0.2455,435000.0,3802226.0,0.0,2206000.0,-4.06,-0.0579,0.6025,0.0,38680000.0,-0.4158,-3.4117,0.5657,-0.5285,-199558000.0,0.0738,0.0357,1.1213,38773000.0
9811,-5.23,-0.5957,0.0,11046875.0,0.1502,-35514000.0,-5.5868,-0.3235,0.0139,-0.1115,75225000.0,-0.084,3.7093,-0.0696,0.5897,-256000.0,-0.0649,-0.7915,0.2648,-818000.0
8199,0.52,0.0218,69000.0,104228680.0,0.2539,-43013000.0,0.1326,-0.2211,0.6672,0.1353,182707000.0,1.4934,3.4804,0.1608,0.1454,19028000.0,0.3698,-0.2353,0.1229,440000.0
6922,-0.22,-0.0181,0.0,16758779.0,0.2484,8907000.0,-0.2186,-0.1155,-0.001,0.017,-38152000.0,2.5403,2.8107,-0.09,0.2745,-1493000.0,0.2288,-1.1209,-0.0316,-3314000.0
6187,0.84,0.039,0.0,48444864.0,0.1215,7895000.0,0.8445,0.1179,0.0039,0.0475,-42164000.0,0.0376,2.4659,0.0128,0.196,256747000.0,0.0497,0.2,-0.0195,1007000.0
10615,1.53,0.0348,0.0,218922300.0,0.1237,259378000.0,1.5794,-0.2972,0.0,0.0298,451836000.0,0.1664,4.1708,0.0593,2.1234,0.0,0.1085,2.7971,0.066,0.0
14288,-0.56,-0.0739,-45000.0,18478464.0,-0.0525,14060000.0,-0.604,-0.0349,0.0112,-0.0242,-7954000.0,-0.1265,2.7622,-0.0225,-0.3218,13265000.0,0.0181,-1.4409,0.0332,346000.0
2627,3.41,0.0636,-24000000.0,141272930.0,0.0819,-319396000.0,3.4319,0.1128,0.016,0.0838,837972000.0,-0.2307,3.6273,0.006,0.2055,3023845000.0,0.0761,0.2917,0.0083,-8427000.0
14032,2.49,0.0205,6700000.0,152495000.0,0.1569,419284000.0,2.4931,0.0855,0.0083,0.1466,688000000.0,0.1911,12.1687,0.1736,0.3528,331000000.0,0.1841,0.3316,0.3892,-83000000.0
2477,2.79,0.0631,-167000.0,28417366.0,0.1421,-7771000.0,2.7857,0.0961,-0.0086,0.1899,98334000.0,0.0279,4.4671,0.3029,-0.065,373259000.0,0.2911,-0.0638,0.1628,-33676000.0
17398,-0.57,-0.0803,416000.0,34632680.0,-0.0331,-10681000.0,-0.5678,-0.1757,0.0358,0.0376,-544000.0,-1.5815,-0.1874,-0.0646,-1.1938,-170299000.0,0.0811,-0.9,0.1697,520000.0
12708,2.1,0.1254,0.0,5864505.0,0.1678,380851.0,2.0968,1.048,0.043,0.1297,-194495.0,-0.3497,0.1519,1.0319,0.204,-46725796.0,0.1113,2.7971,0.2154,178512.0
11466,0.33,0.0259,0.0,12962960.0,0.0964,-22380000.0,0.308,0.0056,-0.0105,0.2081,80782000.0,-0.8927,0.8163,0.0768,0.2443,77301000.0,0.1448,1.7857,0.0,-16549000.0
2539,0.19,0.0016,-1395000.0,34503040.0,0.3472,17213000.0,0.1934,0.0187,0.0352,0.3331,-9815000.0,1.27,0.8439,0.0804,-1.7313,9064000.0,0.2282,0.3571,0.4118,12295000.0
489,5.9,0.1254,0.0,83770260.0,0.7412,-119402000.0,7.0686,0.0855,-0.0624,0.2846,-793257000.0,0.2563,12.1773,-0.0004,0.7412,1145476000.0,0.0,0.9423,-0.0411,-441204000.0
4978,0.13,0.0,-2020000.0,122340490.0,0.0,15855000.0,0.0,0.0,0.0,0.0339,-78037000.0,0.0,0.0,0.0,0.0,-1005000000.0,0.0,0.0,0.0,-1083000.0
5417,2.42,0.0537,-24000000.0,186413340.0,0.1041,-119311000.0,2.4199,-0.0599,-0.0367,0.0079,-636822000.0,0.4345,2.9986,-0.1125,0.2133,1771379000.0,0.0744,0.2604,-0.1001,-499027000.0
7342,-1.24,-0.0947,-1775000.0,322944700.0,0.6368,240893000.0,-1.0547,0.5464,0.2003,0.4904,264763000.0,1.188,0.1239,0.6512,-0.1593,-607649000.0,0.3979,-0.1481,0.2377,157286000.0
7030,1.12,0.0833,0.0,9248706.0,0.0386,-2277000.0,1.118,0.0498,-0.0008,0.0386,36886000.0,-0.2272,1.6012,0.0508,0.0475,120188000.0,0.0378,0.0769,0.0,-803000.0
17141,1.52,0.0443,496000.0,63128756.0,0.2415,53443000.0,1.5092,0.1248,0.0233,0.1751,111572000.0,-0.0354,1.879,0.2189,0.35,748062000.0,0.0956,0.4206,0.1733,15092000.0
3188,2.36,0.0509,0.0,43167150.0,0.7182,-36900000.0,2.3631,0.043,0.3822,0.6,837972000.0,-0.252,3.4246,0.6235,0.7244,437500000.0,0.0,0.1626,0.2462,157286000.0
15399,5.9,0.0,0.0,9000000.0,0.0,227000000.0,0.0,0.0,0.0,0.0,-956000000.0,0.0,0.0,0.0,0.0,8422000000.0,0.0,0.0,0.0,0.0
13299,0.46,0.0228,0.0,142357000.0,1.1081,101976000.0,0.4616,1.048,0.0661,0.8047,131655000.0,2.5403,0.9827,0.9882,1.9735,-522371000.0,0.1737,1.5679,0.4115,147650000.0
2185,-1.52,-0.0303,0.0,85761410.0,0.1414,35558000.0,-1.5695,-0.1023,0.0,-0.1075,242816000.0,-0.5017,0.0318,0.0323,-2.0454,-349380000.0,0.4024,-2.234,0.1797,0.0
1140,0.79,0.0285,571000.0,129467660.0,-0.161,-15902000.0,0.7895,-0.0268,0.0042,-0.0042,-193714000.0,0.21,2.3952,-0.0272,-0.2108,672371000.0,0.0424,-0.3248,-0.0557,5607000.0
7629,-0.2,-0.0183,-1144000.0,136999800.0,0.2735,651000.0,-0.1962,0.0,0.03,0.177,-41632000.0,0.2403,1.3494,0.0323,2.1234,-667362000.0,0.0721,0.4118,0.1803,2224000.0
4074,0.16,0.0035,-24000000.0,156480210.0,-0.4304,-319396000.0,0.1572,-0.1265,0.0633,0.0027,374100000.0,0.1772,2.0086,0.0598,-0.6846,-302200000.0,-0.043,-0.7746,-0.0971,10500000.0
14713,3.84,0.0469,3242000.0,58813796.0,0.1052,2728000.0,3.863,0.1225,-0.0302,0.0179,-228470000.0,0.3952,6.2239,0.0295,0.0716,1796556000.0,0.0435,0.28,-0.0112,-88373000.0
14507,-2.83,-0.1874,2468000.0,29914046.0,-0.0565,-19664000.0,-2.8233,-0.1216,0.0142,0.0029,25592000.0,-1.1725,-0.4589,-0.0798,-2.0454,135486000.0,0.0754,-2.3448,0.1491,450000.0
8939,-0.52,-0.049,0.0,9370000.0,0.0,789108.0,-0.5244,0.0361,0.0804,0.0,3718299.0,-0.4596,-0.4575,0.1428,-0.4716,-8331401.0,0.0543,-0.3333,0.0,3718299.0
4129,5.9,0.0669,3500000.0,32837494.0,0.0337,31200000.0,5.903,0.0961,0.0061,0.0408,385700000.0,-0.6885,3.1576,0.2538,-0.0026,999700000.0,0.0484,-0.0359,-0.01,7200000.0
12990,3.94,0.0687,6700000.0,62229150.0,0.153,80000000.0,3.9807,0.1824,-0.0016,0.1269,-133000000.0,-0.1122,5.5859,0.0998,0.4049,1707000000.0,-0.0545,0.6838,0.1557,-40000000.0
2046,2.59,0.1254,0.0,141382610.0,0.7854,-62929000.0,2.5857,0.169,0.0785,0.8047,837972000.0,-1.6099,-1.2607,0.3576,0.7508,237769000.0,0.7181,0.2333,0.0,157286000.0
10680,-0.82,-0.1822,-1609000.0,59535616.0,-0.0005,-7558000.0,-0.8246,-0.3002,0.0302,-0.0812,-51136000.0,2.2008,1.3922,-0.0899,0.5241,-260459000.0,-0.1005,0.7975,0.053,-1991000.0
2622,-1.99,-0.3437,0.0,26094600.0,-0.4304,7311231.0,-1.9948,0.3085,0.1941,-0.2962,40698070.0,0.0553,-1.2763,0.4287,-0.0312,-224741570.0,0.0729,0.1385,0.0,40698070.0
6713,1.39,0.0666,0.0,19525644.0,0.219,361000.0,1.3965,0.0552,0.2042,0.219,151060000.0,0.3237,2.0149,0.2882,0.2475,193446000.0,0.3301,0.0146,0.0,-10374000.0
3129,2.46,0.0361,-4931000.0,55333840.0,0.0872,-43790000.0,2.4588,0.0647,-0.0218,0.0766,-173087000.0,0.2817,3.177,0.0298,0.1016,944965000.0,0.0728,0.1884,-0.1199,-61480000.0
11323,3.94,0.0414,0.0,15055954.0,0.0326,5697000.0,3.9413,0.053,0.0104,0.0326,488330000.0,0.0973,6.0348,0.0961,-0.0114,230182000.0,0.0596,0.0077,0.0,1229000.0
16273,0.32,0.0081,1400000.0,18719538.0,0.1097,-1300000.0,0.3479,0.0379,-0.0008,0.8047,5700000.0,1.5,0.7556,0.0493,-0.7714,261500000.0,0.1212,-0.8912,0.1964,3400000.0
7204,0.834,0.1254,0.0,17003114.0,0.2988,9197922.0,0.7852,0.1994,0.0108,0.2458,21938700.0,-1.2556,-1.6534,0.2524,0.5233,60525404.0,0.3004,0.5589,-0.2678,-147862.0
16679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1275,3.41,0.0803,0.0,48331076.0,-0.0003,47260000.0,3.364,0.2424,0.0059,0.0036,-96745000.0,-0.2123,3.6007,0.1429,-0.0046,238151000.0,0.0042,-0.0173,0.2444,0.0
7923,0.59,0.0624,1344000.0,6835591.0,-0.0236,42000.0,0.5922,0.188,-0.0398,0.0432,4987000.0,-0.4168,0.653,0.1536,0.0094,18754000.0,-0.0332,0.0536,0.0787,395000.0
14359,-0.59,-0.0819,1237572.0,48036536.0,-0.1906,-10320374.0,-0.5913,-0.0502,0.0105,-0.2061,-9814541.0,0.9351,-0.067,-0.0031,0.1591,-3802310.0,-0.1919,-2.3448,-0.0616,0.0
13691,-1.45,-0.3756,0.0,34248320.0,-0.4304,18921000.0,-1.4463,-0.344,0.5627,-0.2962,25315000.0,0.0222,-1.4742,-0.2059,0.056,-632854000.0,-0.1593,0.4008,0.0,28297000.0
11917,2.65,0.0544,0.0,7394143.0,0.0521,7024000.0,2.6475,0.0483,-0.0159,0.0521,165328000.0,-0.0386,3.7926,0.0992,0.1055,111114000.0,0.0346,0.1229,0.0,-604000.0
14637,3.19,0.0276,6700000.0,88036370.0,0.0662,29300000.0,3.1914,0.1407,-0.009,0.0866,-83900000.0,0.1093,7.3126,0.1684,0.1515,2596700000.0,0.018,-0.1139,0.1791,-129700000.0
13555,0.91,0.0292,818000.0,19264940.0,0.1233,-5192000.0,0.9059,0.2229,0.0258,0.1314,80000.0,0.3535,1.2061,0.2394,0.2918,28333000.0,0.0618,0.5965,0.1371,4722000.0
17382,0.31,0.0142,-1087000.0,75761180.0,0.1265,922000.0,0.3145,0.0683,0.0027,0.1015,-211000.0,0.3381,0.9576,0.1055,0.0925,-238465000.0,0.0906,0.1481,-0.0083,145000.0
16470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7773,-5.23,-0.5957,-540000.0,9572213.0,-0.4304,-22624000.0,-5.5868,-0.4743,0.3537,-0.1615,8783000.0,-1.463,-3.4117,-0.2058,-0.2676,-905045000.0,-0.1919,0.3608,0.3074,9218000.0
13901,-0.48,-0.1171,0.0,15368304.0,0.6374,-6313000.0,-0.4831,-0.6089,0.6288,0.5323,201000.0,0.4623,-0.4092,-0.2409,0.3343,-111074000.0,0.1734,0.6571,0.7118,249000.0
