,EPS,Earnings_Yield,Effect_of_forex_changes_on_cash,Weighted_Average_Shs_Out,Gross_Profit_Growth,Net_cash_flow_/_Change_in_cash,Net_Income_per_Share,Book_Value_per_Share_Growth,Weighted_Average_Shares_Growth,Revenue_Growth,Financing_Cash_Flow,Operating_Cash_Flow_growth,Operating_Cash_Flow_per_Share,Asset_Growth,Operating_Income_Growth,Retained_earnings_(deficit),SG&A_Expenses_Growth,EPS_Growth,Receivables_growth,Issuance_(buybacks)_of_shares
330,2.96,0.0506,111000.0,21741864.0,0.1842,3452000.0,2.957,0.0074,-0.0082,-0.0059,-94042000.0,0.3829,5.8281,-0.0231,0.2733,390525000.0,0.0783,0.3156,0.0239,-29524000.0
14415,-2.1297,-0.5957,266021.75,493627.12,0.6039,-2614873.0,-5.5868,-0.1252,0.0497,0.2018,-4075121.0,1.4893,14.3718,-0.0846,0.1567,-21842200.0,0.0683,0.1133,-0.3643,0.0
9922,0.51,0.0279,-3174000.0,54300000.0,0.3565,-46097000.0,1.0017,0.0312,0.0054,0.3439,208726000.0,0.3173,2.0401,0.2506,-0.6182,-58760000.0,0.597,-0.8046,0.7108,99359000.0
3013,0.7,0.0,0.0,59684000.0,-0.239,0.0,0.0,0.0,0.0,-0.2384,0.0,0.0,0.0,0.0,-0.6055,-61575000.0,0.0,-0.6237,-0.453,0.0
3907,3.62,0.1254,-238000.0,4017254.0,-0.1412,14686000.0,3.6217,0.5678,0.0266,-0.176,-1738000.0,0.1346,0.7894,-0.062,-1.4716,29926000.0,0.0675,2.7971,-0.2846,253000.0
3228,1.07,0.0474,0.0,8901590.0,0.0978,-179000.0,1.07,0.0181,0.0125,0.0491,5047000.0,-0.1214,2.0789,0.0455,0.117,24148000.0,0.0,0.1263,0.0314,1651000.0
6522,5.9,0.1254,6700000.0,449000000.0,0.3386,419284000.0,7.7254,0.0185,-0.0154,0.0557,-1363003000.0,-0.2812,14.3718,-0.0123,2.1234,9313000000.0,-0.0543,2.7971,0.0,-570775000.0
2998,0.78,0.069,0.0,6660466.0,0.2081,8366000.0,0.7689,0.1252,0.2576,0.2081,31565000.0,-0.2617,1.8027,0.2827,0.3427,-8286000.0,0.1799,0.0,0.0,173000.0
1154,1.31,0.0454,0.0,126307930.0,0.0148,3891000.0,1.3185,0.101,0.0468,0.0191,16794000.0,0.0931,1.7002,0.0686,0.0121,-490807000.0,-0.0118,-0.2294,0.0151,139564000.0
17660,-0.27,-0.1102,0.0,7334016.0,0.0544,-987895.0,-0.2371,-0.0742,0.0331,-0.0081,283043.0,-1.2177,-0.0937,-0.0129,0.0042,11927501.0,0.0582,0.0357,0.0028,-18122.0
3184,1.57,0.0417,0.0,38400040.0,-0.0298,37762000.0,1.5794,0.0287,0.0005,-0.0133,-51449000.0,0.2031,4.2234,0.052,-0.0002,253602000.0,0.0127,-0.0248,-0.0791,-16591000.0
4393,-5.2,-0.1348,0.0,45271300.0,-0.4304,6753000.0,-5.2029,-0.2725,0.0566,-0.2962,147808000.0,-0.1628,-3.4117,-0.072,-0.6458,-899055000.0,0.5217,-0.5339,0.6461,119916000.0
16672,0.2418,0.0497,0.0,11473018.0,0.1234,-11347340.0,7.7254,0.0352,0.0887,0.1234,1552750.9,0.6639,-3.4117,0.1356,-0.1852,10221584.0,0.7181,-0.3003,-0.453,0.0
930,3.23,0.0699,-11024000.0,155540270.0,0.0639,10287000.0,3.2308,0.0898,-0.0101,0.0639,-443720000.0,0.2794,3.7579,0.0638,0.1135,517970000.0,0.0619,0.2617,0.0761,-319402000.0
15829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17541,0.12,0.013,0.0,9578738.0,0.2088,-30135336.0,0.1203,-0.6089,0.6672,0.1402,-2056400.0,-1.0545,-0.0268,0.0042,-0.7192,-42409740.0,0.4715,-0.8154,0.633,-668618.0
2464,1.41,0.0861,0.0,2000000.0,0.0433,39218.0,1.3611,-0.0774,0.0,0.0433,-2776358.0,0.0343,1.3611,0.0358,0.0343,0.0,0.1325,0.0368,0.0,0.0
13666,-0.95,-0.2088,226000.0,21930448.0,1.1081,7203000.0,-1.01,0.2331,0.0037,0.6021,22995000.0,-0.0006,-0.7503,0.2341,0.3209,-129409000.0,-0.1919,-0.1047,0.3016,22665000.0
2847,1.1,0.0986,0.0,7402664.0,-0.0958,-8372000.0,1.0968,-0.0396,-0.033,-0.175,14005000.0,-1.6099,-2.2237,-0.0144,-0.2684,27069000.0,0.1027,-0.3168,-0.0648,-53000.0
16691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8874,-1.15,-0.0247,0.0,13080547.0,0.0,27499000.0,-1.1476,0.0,0.0,0.0,31628000.0,-1.6099,-0.3745,0.0,-1.6438,-17120000.0,-0.1919,-2.3448,0.0,35008000.0
7587,1.99,0.0491,-268000.0,47265388.0,0.4092,-2562000.0,1.2422,0.2093,0.0383,0.332,80008000.0,-0.5187,0.15,0.2595,1.9553,373950000.0,0.0579,1.48,0.4245,23338000.0
9806,-5.23,-0.4218,0.0,5538650.0,-0.1599,-9451000.0,-5.5868,-0.135,0.0739,-0.1482,-76315000.0,-0.4986,11.1603,-0.0605,-1.2487,0.0,0.1106,-2.2917,1.1213,440000.0
