"","Revenue","EPS_Diluted","Free_Cash_Flow","priceEarningsToGrowthRatio","ebitperRevenue","niperEBT","netProfitMargin","returnOnAssets","eBITperRevenue","Return_on_Tangible_Assets","Book_Value_per_Share_Growth","Class"
"14571",2.792e+09,1.22,2.04e+08,0,0,0,0,0,0,0,0,"1"
"14572",4131400000,2.07,2.82e+08,9.6700567164179,0.039284504042213,1.1754385964912,0.025947620661277,0.0696,0.039284504042213,0.0696,0.1427,"0"
"14573",1429429000,-2.4,-35851000,0,-0.14581066985489,0,-0.16604252467244,-0.2601,-0.14581066985489,-0.2601,-0.272,"1"
"14574",4757208000,2.92,136014000,8.4985631680392,0.045656401822245,1.0038494584373,0.031190984291627,0.0757,0.045656401822245,0.0757,0.0921,"0"
"14575",1943086000,0.45,27987000,62.014481272281,0.0098225194355783,2.9018390804598,0.0064963671191085,0.0713,0.0098225194355783,0.0713,0.0494,"0"
"14576",831324000,0.94,21792000,3.9217842418028,0.35079704182725,1,0.21079266326968,0.0392,0.35079704182725,0.0392,0.0408,"1"
"14577",4376670000,1.64,275372000,31.07155248731,0.049374524467232,0.61749058740702,0.023045831648262,0.1028,0.049374524467232,0.1028,0.326,"0"
"14578",8.26e+08,0.76,18800000,16.19970486618,0.20544794188862,0.83593220338983,0.14927360774818,0.1894,0.20544794188862,0.1894,0.1766,"0"
"14579",3003800000,2.58,139200000,18.862487039746,0.099240961448831,0.77931034482759,0.067714228643718,0.1202,0.099240961448831,0.1202,0.1303,"0"
"14580",1851117000,1.78,310701000,24.973643156636,0.12624269562648,0.89331548604506,0.082200098643144,0.5751,0.12624269562648,0.5751,0.0531,"0"
"14581",2736929000,1.34,287144000,23.515968449354,0.12955688656885,0.81495603262166,0.096133659294779,0.328,0.12955688656885,0.328,0.181,"0"
"14582",3300184000,1.22,171229000,32.447368509365,0.071141790881963,0.7802462250315,0.045782295775023,0.0991,0.071141790881963,0.0991,0.2039,"0"
"14583",637123000,0.43,46082000,56.218655676759,0.037658348544943,0.68964458432486,0.014100887897627,0.0342,0.037658348544943,0.0342,0.1626,"0"
"14584",1797600000,0.99,34300000,36.2917,0.055629728526925,0.66951566951567,0.026145972407655,0.0233,0.055629728526925,0.0233,0.1102,"0"
"14585",1507599000,-3.19,86447000,0,-0.079335420095131,0,-0.096411578941084,0.2525,-0.079335420095131,0.2525,0.2249,"1"
"14586",1132892000,1.63,63147000,13.565661502843,0.075952517980531,1.0203658210608,0.070759613449473,0.3134,0.075952517980531,0.3134,0.1513,"0"
"14587",698120000,1.65,26604000,12.451227490552,0.080892969690025,1.5987108883891,0.12932447143758,0.1446,0.080892969690025,0.1446,0.1964,"0"
"14588",1965556000,4.72,290981000,15.566653824187,0.1700211034435,0.73572613617111,0.1170940944954,4.4402,0.1700211034435,4.4402,0.1636,"0"
"14589",21034300000,8.04,359100000,15.042998166483,0.037519670252873,0.73972602739726,0.025929077744446,0.3592,0.037519670252873,0.3592,0.2274,"0"
"14590",343798000,0.1,8076000,268.84488188976,0.045843780359397,0.33037243829706,0.015145521498089,0.0405,0.045843780359397,0.0405,0.1086,"1"
"14591",3.275e+09,2.49,5.68e+08,16.881900993708,0.067175572519084,0.89,0.054351145038168,0.5855,0.067175572519084,0.5855,4.9679,"0"
"14592",2252422000,2.85,189041000,28.517847833976,0.12822242013264,0.6121019356853,0.069633931829826,0.2089,0.12822242013264,0.2089,0.3261,"1"
"14593",6.822e+09,4.79,1.024e+09,0,0,0,0,0,0,0,0,"0"
"14594",5.297e+09,1.94,1.51e+09,21.808381348795,0.3054559184444,1.1062648691515,0.26335661695299,-1.5535,0.3054559184444,-1.5535,0.076,"1"
"14595",3123272000,1.39,333174000,7.3639502874141,0.12019126095966,0.99788845062678,0.083675068966136,0.1982,0.12019126095966,0.1982,2.81,"0"
"14596",10022788000,2.42,459208000,23.484564267674,0.041066816937563,0.73510958057307,0.029305917674803,0.2069,0.041066816937563,0.2069,0.0478,"0"
"14597",2098685000,3.16,215201000,23.879416184971,0.13350121623779,0.79331109765892,0.09553934964037,0.1323,0.13350121623779,0.1323,0.1407,"0"
"14598",2505176000,2.41,302472000,24.917177278992,0.14861111554637,0.75800998912748,0.10686554557444,0.467,0.14861111554637,0.467,0.1376,"0"
"14599",431943000,1.14,78816000,14.286682128382,0.19509055592983,0.82736109444378,0.15961365272733,0.1072,0.19509055592983,0.1072,0.055,"0"
"14600",3881756000,2.72,100636000,29.920103008453,0.11075348373262,0.7449877000517,0.067562463998252,0.2072,0.11075348373262,0.2072,0.2054,"0"
"14601",1581300000,0.26,-346800000,149.04370982553,-0.00056915196357427,0,0.005944476063998,0.0147,-0.00056915196357427,0.0147,0.1313,"0"
"14602",1668787000,5.13,314810000,10.470357431561,0.18498346403705,2.0352008804731,0.27037722609296,0.1389,0.18498346403705,0.1389,0.0383,"0"
"14603",14869380000,3.57,326056000,24.191939179192,0.052128535285264,0.69309354078381,0.033955215348589,0.6698,0.052128535285264,0.6698,0.1504,"0"
"14604",9613907000,0.256,1314390000,55.524507000652,0.075109318199146,0.47232427434856,0.016154098432614,0.0195,0.075109318199146,0.0195,-0.0723,"0"
"14605",1006782000,0.93,9733000,30.909521553766,0.034073910737379,0.9789577415802,0.016774237123826,0.0685,0.034073910737379,0.0685,-0.0793,"0"
"14606",6.983e+09,3.01,300600000,28.468016218935,0.08257196047544,0.66348850252384,0.050823428325934,0.1132,0.08257196047544,0.1132,-0.0173,"0"
"14607",2335542000,5.26,264240000,25.735272097891,0.1753391718068,0.77732844191704,0.12764831460963,0.4028,0.1753391718068,0.4028,0.0817,"0"
"14608",2702540000,0.12,45073000,83.978316152112,-0.023756910165992,0,0.0024617581978435,0,-0.023756910165992,0,0.0251,"1"
"14609",1.755e+09,3.76,3.5e+08,9.0070927058824,0.23817663817664,1.9029850746269,0.29059829059829,1.8889,0.23817663817664,1.8889,0.7126,"1"
"14610",1767161000,1.78,129183000,11.395817571036,0.078622151575323,0.90928528293264,0.063051414104318,0.2283,0.078622151575323,0.2283,0.1503,"0"
"14611",965230000,3.66,210204000,80.308309222055,0.1803425090393,0.74334476365884,0.12711478093304,0.1001,0.1803425090393,0.1001,0.5529,"1"
"14612",3660831000,0.02,254899000,2029.8967426645,0.087701672106688,0.010148049791261,0.00072442568367674,0.0013,0.087701672106688,0.0013,0.0222,"0"
"14613",1445400000,0.94,-439700000,24.431420901129,0.14411235644112,1.0947281713344,0.091946865919469,0.6712,0.14411235644112,0.6712,2.8215,"0"
"14614",9.721e+09,8.34,2.65e+08,10.08379050944,0.06687583581936,1.0645609163485,0.063100504063368,0.1532,0.06687583581936,0.1532,0.1195,"0"
"14615",1524813000,1.37,262287000,40.996006495685,0.1876131696149,0.67316358108475,0.12197233365665,0.363,0.1876131696149,0.363,0.1983,"1"
"14616",1687738000,1.47,125080000,39.948658285036,0.18375956457697,0.50072648081854,0.087598904569311,0.2132,0.18375956457697,0.2132,0.9624,"0"
"14617",3014108000,3.28,267286000,12.261501237562,0.10401120331455,0.72087203256904,0.067852578607004,0.1648,0.10401120331455,0.1648,0.2,"0"
"14618",607336000,0.9,73002000,26.063687456933,0.1064863601038,1.1655090080313,0.12377497793643,0.1396,0.1064863601038,0.1396,0.136,"0"
"14619",8.57e+09,0.32,-9.5e+07,131.161,0.045624270711785,0.75,0.0035005834305718,0.0163,0.045624270711785,0.0163,0.2409,"0"
"14620",7.441e+09,10.46,4.53e+08,21.304748475992,0.11638220669265,0.62046632124352,0.064373068136003,0.1587,0.11638220669265,0.1587,0.0891,"0"
"14621",1196809000,0.67,207443000,112.50930478005,0.036936553785942,0.90227414546211,0.02174699555234,0.0531,0.036936553785942,0.0531,0.0582,"1"
"14622",18203402000,2.13,618195000,17.004860720705,0.031774610042672,0.97779864936502,0.018644317144674,0.1967,0.031774610042672,0.1967,0.1796,"0"
"14623",3580700000,0.27,365600000,137.92849056604,-0.0040494875303712,0,0.011841260088809,0.0725,-0.0040494875303712,0.0725,0.0275,"0"
"14624",3364700000,0.46,-23800000,23.173765359649,0.031741314233067,1.0822784810127,0.0050821767170922,0.0152,0.031741314233067,0.0152,0.8034,"0"
"14625",602546000,0.71,69711000,39.70405840214,0.092673422444096,0.68296167688496,0.062672393477013,0.1403,0.092673422444096,0.1403,0.008,"1"
"14626",143537000,-1.79,-36438000,0,-0.82830907710207,0,-1.2519629085184,-0.0857,-0.82830907710207,-0.0857,-0.148,"0"
"14627",3.3e+08,-1.61,7.4e+07,0,0,0,0,0,0,0,0,"0"
"14628",6939600000,-0.49,109400000,0,0.036587123177128,-0.46298788694482,-0.0049570580436913,-0.0269,0.036587123177128,-0.0269,-1.053,"0"
"14629",2508771000,1.34,78176000,20.320158323716,0.03310146681383,0.71509993552547,0.022104847353545,0.2009,0.03310146681383,0.2009,0.068,"0"
"14630",462034000,6.34,51537000,7.1315167704002,0.20577273533982,1.8444135550975,0.33313565668327,0,0.20577273533982,0,0.324,"1"
"14631",1425800000,2.03,35900000,15.293377379619,0.041029597418993,2.1570048309179,0.062631505119933,0.2494,0.041029597418993,0.2494,0.6113,"0"
"14632",3532799000,-0.87,229690000,0,0.016103095590777,0,-0.012158065035684,-0.0345,0.016103095590777,-0.0345,-0.0962,"0"
"14633",7297054000,14.89,116550000,5.5072759684605,0.062276913395461,2.5210514250783,0.10851392904589,0.0938,0.062276913395461,0.0938,0.3982,"0"
"14634",3975163000,3.01,368048000,33.810322047778,0.136317680558,1.2762302540881,0.11783793519914,0.4352,0.136317680558,0.4352,0.1222,"1"
"14635",1790114000,1.99,51598000,7.5146490087294,0.0768252748149,1.077958570215,0.04607527788733,0.1829,0.0768252748149,0.1829,-0.1672,"0"
"14636",1951500000,1.1,185600000,42.483638793103,0.061491160645657,0.80695652173913,0.023776582116321,0.0634,0.061491160645657,0.0634,0.2582,"0"
"14637",6613800000,3.13,425600000,35.194944889993,0.098657352807766,0.47803223070399,0.042607880492304,0.2066,0.098657352807766,0.2066,0.1407,"0"
"14638",355052000,0.05,-85143000,67.263204186671,0.13192997082118,0.98054359126689,0.01859445940313,0.0331,0.13192997082118,0.0331,0.0135,"1"
"14639",2156460000,8.64,-214300000,6.5453810974928,0.11231091696577,1.5681545467942,0.10362955955594,0.058,0.11231091696577,0.058,0.161,"0"
"14640",2371900000,1.74,254300000,26.209574742268,0.14397740208272,0.72298136645963,0.098149163118175,0.2022,0.14397740208272,0.2022,0.1178,"0"
"14641",217659000,0,-394421000,9981.7684676836,0.18797752447636,0.064176245210728,0.00061564189856611,0,0.18797752447636,0,-0.1016,"0"
"14642",18661872,-0.04,-2247953,0,-0.020137154514831,0,-0.030980600445657,-0.1481,-0.020137154514831,-0.1481,0.3227,"0"
"14643",331976000,-0.16,-45727000,0,0.12327095934646,0,-0.029432850567511,-0.0051,0.12327095934646,-0.0051,-0.2083,"0"
"14644",599309000,-0.52,43387000,0,-0.019842852351625,0,-0.036373556879673,-0.061,-0.019842852351625,-0.061,-0.521,"1"
"14645",3383708000,4.06,113867000,9.5153269995542,0.076872767981161,1.2210521043339,0.086454268512531,0,0.076872767981161,0,0.1771,"1"
"14646",167447171,-0.03,50184103,0,0.16441082184661,0,-0.0086105664932374,-9e-04,0.16441082184661,-9e-04,0.0375,"0"
"14647",1877200000,-0.13,183400000,0,0.062753036437247,-0.10586881472957,-0.004900916258257,-0.0118,0.062753036437247,-0.0118,1.6673,"1"
